 fabmastr        Tebo-ICT,  license #XingShang

 Parts List              1280/1280  Selected Parts             29-April-2012 10:00
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

RHR3           7.995    -3.920    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR47          6.890    -2.180   90.0  E2   (B)  'R0402_H16_B', 'R0402_H16_B'
RHR48          4.135    -3.920    0.0  C3   (T)  'MB_R0402', 'MB_R0402'
RHR49          4.385    -2.740    0.0  C2   (T)  'MB_R0402', 'MB_R0402'
RHR50          6.970    -2.180   90.0  E2   (B)  'MB_R0402_B', 'MB_R0402_B'
RHR51          6.850    -2.180   90.0  E2   (B)  'R0402_H16_B', 'R0402_H16_B'
RHR52          6.930    -2.180  270.0  E2   (B)  'R0402_B', 'R0402_B'
RHR53          7.995    -3.680  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR54          4.900    -2.045  180.0  D2   (T)  'MB_R0402', 'MB_R0402'
RHR55          7.995    -3.880    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR56          7.865    -3.680  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR57          7.865    -3.720  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR58          7.995    -3.720  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR61          7.995    -3.960    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR62          7.865    -3.800  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR65          7.995    -4.000    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR66          7.865    -3.840  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR67          7.865    -3.760  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR75          1.905    -5.685  270.0  B4   (T)  'MB_R0402', 'MB_R0402'
RHR78          5.850    -3.600    0.0  D3   (T)  'MB_R0402', 'MB_R0402'
RHR79          5.750    -3.600    0.0  D3   (T)  'MB_R0402', 'MB_R0402'
RHR83          7.735    -3.760    0.0  F3   (T)  'R0402', 'R0402'
RHR85          7.735    -3.680    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR86          7.865    -3.920    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR89          7.995    -3.760    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR90          7.995    -3.800    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR91          7.995    -3.840    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR92          7.735    -3.800  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR93          7.865    -3.880  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RHR96          4.900    -1.965  180.0  D2   (T)  'R0402_H16', 'R0402_H16'
