 fabmastr        Tebo-ICT,  license #XingShang

 Board Outline Contour             INCH units               29-April-2012 10:00

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    0.000      -2.305       0.000
    0.000      -0.160       0.000
    0.005      -0.119       0.000
    0.021      -0.080       0.000
    0.047      -0.047       0.000
    0.080      -0.021       0.000
    0.119      -0.005       0.000
    0.160       0.000       0.000
    8.740       0.000       0.000
    8.781      -0.005       0.000
    8.820      -0.021       0.000
    8.853      -0.047       0.000
    8.879      -0.080       0.000
    8.895      -0.119       0.000
    8.900      -0.160       0.000
    8.900      -2.890       0.000
    8.900      -6.640       0.000
    8.895      -6.681       0.000
    8.879      -6.720       0.000
    8.853      -6.753       0.000
    8.820      -6.779       0.000
    8.781      -6.795       0.000
    8.740      -6.800       0.000
    0.160      -6.800       0.000
    0.119      -6.795       0.000
    0.080      -6.779       0.000
    0.047      -6.753       0.000
    0.021      -6.720       0.000
    0.005      -6.681       0.000
    0.000      -6.640       0.000
    0.000      -2.305       0.000
